id,user,name,desc,steps,post_time
1,120,citrus baked halibut,citrus baked halibut,"oven cooking:
rinse halibut in cold water and dry using paper toweling
arrange halibut in a 9"" x 13"" oven-proof baking dish
preheat oven to 400 degrees fahrenheit
in a frying pan , add butter , onion and garlic
saute until translucent
remove from heat
stir in parsley , orange rind , salt and pepper
spread mixture over halibut steaks
in a small bowl , mix together orange juice and lemon juice
sprinkle juice over steaks , but be careful not to wash away the onion / garlic mixture
bake fish in preheated 400 degree fahrenheit oven for 20 to 22 minutes , turning over at about 10 minutes of cooking time
continue cooking until time expires or until fish flakes easily with a fork
do not overcook fish
spoon hot juices over fish
serve at once
microwave cooking:
prepare and arrange fish and onion / garlic as above
reduce orange juice by 2 tablespoons
cover fish with a clear plastic wrap vented
cook on high for 4 minutes
turn fish over and cook for an additional 3 to 4 minutes on high or until fish flakes easily with a fork
spoon juices over fish and serve at once
if desired , serve with tartar sauce",1999-08-17
2,195,my favorite savory chicken salad,"this is for people who cringe at the thought of fruit in their chicken salad!  there are no raisins... no grapes... no pineapple bits... nothing sweet in this recipe!!  i grew up on the salty flavors of the chicken salad from the new york deli in boulder, co.  it was delicious!  they closed many years ago - and that drove me to make my own version.  here it is!  serve on a toasted bagel (my favorite) or stuff in a pita, or in a croissant - fancy!  always delicious!","cut of your cooked chicken into small , bite size pieces
mix all ingredients together in a medium bowl , combine well
that's it !
watch your mayonnaise as you go -- we like ours on the dry side -- if you love mayo - you can always add more -- but it's really hard to take out if you add too much
be careful people ! i recommend hellmans brand mayo -- good flavor
you could add some slivered almonds - if you like that kind of thing
also - you can use any kind of cooked chicken: baked , boiled , sauteed , crock pot -- a roasted chicken from the grocery store ! it all works and tastes great !
take a little nibble of your mixture and see how it tastes
adjust seasonings to taste
my mom always said that if your recipe doesn't taste quite right -- add a little more salt
that was her secret -- and she was right !
slather your chicken salad on your favorite bread of choice and enjoy !
yum yum !",2013-05-16
3,153,stevia black bean brownies,"these are amazing brownies. main ingredients are black beans, bananas, cocoa, applesauce, oats and stevia. they are delicious and healthy too.

i adapted this from the following website:  
http://happyherbivore.com/2009/05/vegan-blackbean-brownies/","make sure beans are drained and rinsed , set aside
slice the 2 bananas and set aside
preheat oven to 350 degrees fahrenheit
if using large flake or quick oats , grind in blender or food processor , then remove and set aside
combine all ingredients , except oats , in blender or food processor and mix
scape the sides as needed
add oats and continue blending
adjust consistency with more oats as needed
you can also add more flavoring or stevia if you wish
grease a 8 x 8 inch pan
pour mixture into pan and spread evenly until it is level
bake for approximate 30 minutes or until toothpick comes out cleanly when inserted
allow to cool for a few minutes and then cut into 12 equal squares",2010-05-10
4,69,caribbean coleslaw,"this slaw is so good i sometimes eat it as a snack! it's very healthy too. serve with any grilled meat, chicken or fish. especially good with spicy food. can be really spicy or mild depending on how many hot peppers you put in. definitely gets better the more it sits.","combine lime and orange juices , vinegar , salt , sugar , and cloves
stir to combine
add vegetables
let sit for at least 4 hours before eating",2007-10-27
5,108,shrimp and bamboo shoot curry,"from the archives of the bengal club in calcutta, india.","marinate the shrimp in the lemon juice and salt for 1 hour
heat the oil in a pan , add the onion , and stir fry it over moderate heat until it turns light brown
add the garlic and ginger and stir fry another minute
add the tomato and mix well
add the cumin , coriander , turmeric and chili flakes and stir for a minute or two to integrate all the seasonings
add the shrimp and marinade , bamboo shoots , and the coconut milk and water
simmer the mixture over low heat for 15-20 minutes
adjust the salt if necessary
remove the pan from the heat , cover , and let stand for 10 minutes , which allows the coconut milk to be absorbed by the shrimp and bamboo shoots
garnish with the fresh coriander
serve warm with white rice and a variety of table chutneys and pickles",2012-07-11
6,35,slow cooked pork with cornbread stuffing,super easy and super tasty.,"trim fat from chops
set aside
lightly coat a 5 1 / 2 quart or 6 quart slow cooker with cooking spray
set aside
lightly coat a large skillet with cooking spray
heat over medium heat
add two of the chops
cook on both sides until brown
remove from skillet
repeat with remaining chops
in an extra large bowl stir together the soup and melted butter
add frozen vegetables and stuffing mix
stir to combine
transfer stuffing mixture to the prepared cooker
arrange chops on top of mixture
cover and cook on low setting for 5 to 6 hours or on high setting for 2 1 / 2 to 3 hours",2008-01-22
7,178,spinach stuffed acorn squash,,"preheat oven to 375 degrees
halve squash at width , remove top stem , and discard seeds
set aside
in a skillet saute onions in oil until clear
combine with all other stuffing ingredients and seasonings
fill squash shells with mixture
set halves into deep oven-proof dish , add 2 to 3 inches of water , cover with foil , and bake 40 minutes at 375 degrees or until soft",2002-03-01
8,145,crock pot italian beef sandwiches,i have had this recipe for so long i don't remember where i got it but i have handed out the recipe many times.  nice meal to let cook all day and the flavor is great.  i usually double the recipe for some great leftovers.  i have also added onions but dh prefers recipe without them.    sometimes with the leftovers we will put on top of mashed potatoes instead of bun.,"spray crock pot with cooking spray
cut roast in half
put roast in crockpot and add all ingredients
cook for 7-8 hours on low or until beef is cooked to your desire
remove roast and shred
put shredded beef back in broth to blend
with slotted spoon put beef on bun",2008-10-14
9,26,reuben crescents,i just can't pass up a tasty reuben!  you can substitute pastrami or turkey pastrami for the corned beef.,"separate crescent dough into eight triangles
combine sauerkraut and salad dressing
place two cheese strips across the short side of each triangle
fold corned beef slices in half
place over cheese
top with sauerkraut mixture
roll up each from the short side and place on an ungreased baking sheet
bake at 375 for 10 to 15 minutes or until golden brown",2006-02-25
10,64,blueberry corn muffins,haven't tried this one yet but it sounds really good!!,"preheat the oven to 375
beat the butter with the sugar in a large bowl until light and fluffy
beat in the eggs , orange juice and vanilla
in another bowl mix the flour , corn meal and baking powder
add the dry ingredients to the wet and stir just until blended
fold in blueberries
lightly grease muffin cups with canola oil
fill the cups about two-thirds full
sprinkle with cinnamon sugar
bake for 20 minutes",2003-04-08
11,125,ann s chicken oriental,an old family recipe...,"place one cut up fryer or 4 breasts in a casserole
combine all other ingredients
pour sauce over chicken
place in 350 degree oven
after 1 hour turn chicken
back another 30-45 minutes
serve with white rice",2003-08-26
12,90,new york s best crispy salmon cakes,this started out as a basic recipe many years ago and slowly evolved until it became the best salmon cakes i've ever had. please use the celery and red bell pepper as it is essential to the taste. if you don't have the wasabi powder you can just substitute cayenne pepper which tastes different but is still good but please don't use 1/2 tsp! lol!,"remove skin and bones as desired
add rest of the ingredients to the salmon and combine well until the mixture holds together well
forming a salmon cake with your hands , coat on both sides with the breadcrumbs
gently place in hot oil in your frying pan and cook over a medium heat until nicely browned
enjoy !",2008-02-12
